AAHS,"(3rd.) AAH, to say AAH."
AALS,"(Pl.) AAL, an E. Indian shrub."
ABAC,"A nomogram, a chart or diagram of scaled lines or curves used to assist in mathematical calculations."
ABAS,"(Pl.) ABA, a tightly-woven camel-hair fabric or tunic, worn by Arabs."
ABBA,"Father; religious superior; in the Syriac, Coptic, and Ethiopic churches, a title given to the bishops, and by the bishops to the patriarch; a title given to Jewish scholars in the Talmudic period."
ABBE,"A French abbot, the (male) head of an abbey."
ABBS,"(Pl.) ABB, a kind of textile yarn."
ABED,"In bed, or on the bed; confined to bed."
ABER,
ABET,Fraud or cunning.
ABID,
ABLE,Easy to use.
ABLY,In an able manner; with great ability.
ABRI,
ABUT,"To touch by means of a mutual border, edge or end; to border on; to lie adjacent (to); to be contiguous (said of an area of land)"
ABYE,
ABYS,
ACAI,"Any of several South American palms, of the genus Euterpe, having a dark purple drupe."
ACCA,An accumulator bet.
ACED,"(US) To pass (a test, interviews etc.) perfectly."
ACER,"An English unit of land area (symbol: a. or ac.) originally denoting a day's plowing for a yoke of oxen, now standardized as 4,840 square yards or 4,046.86 square meters."
ACES,A single point or spot on a playing card or die.
ACHE,"Continued dull pain, as distinguished from sudden twinges, or spasmodic pain."
ACHY,"Suffering from aches, sore."
ACID,A sour substance.
ACME,The top or highest point; pinnacle; culmination.
ACNE,"A skin condition, usually of the face, that is common in adolescents. It is characterised by red pimples, and is caused by the inflammation of sebaceous glands through bacterial infection."
ACRE,"An English unit of land area (symbol: a. or ac.) originally denoting a day's plowing for a yoke of oxen, now standardized as 4,840 square yards or 4,046.86 square meters."
ACRO,
ACTA,
ACTS,"Something done, a deed."
ACYL,"Any of class of organic radicals, RCO-, formed by the removal of a hydroxyl group from a carboxylic acid."
ADAW,
ADDS,An act or instance of adding.
ADDY,Address (especially e-mail address).
ADIT,"A horizontal or nearly horizontal passage from the surface into a mine, as contrasted with a shaft or vertical entry passage. An adit may be used for ventilation, haulage, drainage, or other purposes."
ADOS,
ADRY,
ADZE,A cutting tool that has a curved blade set at a right angle to the handle and is used in shaping wood.
AEON,"(preferred spelling, with æon) A spirit being emanating from the Godhead."
AERO,Aerodynamics.
AERY,
AESC,
AFAR,"At, to, or from a great distance; far away."
AFFY,
AFRO,A hairstyle characterized by a tightly curled locks and a rounded shape.
AGAR,"A gelatinous material obtained from red algae, especially Gracilaria species, used as a bacterial culture medium, in electrophoresis and as a food additive."
AGAS,An honorific for high officials used in Turkey and certain Muslim countries.
AGED,To cause to grow old; to impart the characteristics of age to.
AGEE,
AGEN,
AGER,
AGES,"The whole duration of a being, whether animal, plant, or other kind, being alive."
AGHA,
AGIN,Another time; once more.
AGIO,The premium or percentage on a better sort of money when it is given in exchange for an inferior sort. The premium or discount on foreign bills of exchange is sometimes called agio.
AGLU,
AGLY,
AGMA,The nasalized velar consonant found in such words as song or wink.
AGOG,"In eager desire, eager, astir."
AGON,
AGRO,
AGUE,An acute fever.
AHED,
AHEM,"A use of the interjection, ahem."
AHIS,Yellowfin tuna
AHOY,An utterance of this interjection.
AIAS,
AIDA,
AIDE,An assistant.
AIDS,"Help; assistance; succor, relief."
AIGA,"A type of bus, typically a modified pickup truck, used by private entrepreneurs in American Samoa"
AILS,An ailment; trouble; illness.
AIMS,"The pointing of a weapon, as a gun, a dart, or an arrow, or object, in the line of direction with the object intended to be struck; the line of fire; the direction of anything, such as a spear, a blow, a discourse, a remark, towards a particular point or object, with a view to strike or affect it."
AINE,
AINS,
AIRN,
AIRS,"The substance constituting earth's atmosphere, particularly:"
AIRT,
AIRY,Consisting of air.
AITS,"An island in a river, especially the River Thames in England."
AITU,
AJAR,To turn or open slightly; to become ajar or to cause to become ajar; to be or to hang ajar.
AJEE,
AJIS,
AKED,
AKAS,
AKEE,"A tropical evergreen tree, Blighia sapida, related to the lychee and longan."
AKES,
AKIN,(of persons) Of the same kin; related by blood.
ALAE,
ALAN,
ALAP,"The opening, improvised section of a Classical raga performance, before the formal recitation."
ALAR,Of or relating to the armpit; axillary.
ALAS,"Used to express sorrow, regret, compassion or grief."
ALAY,
ALBA,"A type of lyrical poetry, traditionally Provençal, about lovers who must part at dawn."
ALBE,
ALBS,"A long, white robe worn by priests and other ministers, underneath most of the other vestments."
ALCO,
ALEC,"An anchovy or herring, especially pickled or dried."
ALEE,"On the lee side of a ship, to the leeward side (vs aweather)"
ALEF,
ALES,A beer made without hops.
ALEW,
ALFA,
ALFS,
ALGA,"Any of many aquatic photosynthetic organisms, including the seaweeds, whose size ranges from a single cell to giant kelps and whose biochemistry and forms are very diverse, some being eukaryotic."
ALIF,
ALIT,
ALKO,
ALKY,An alcoholic.
ALLS,
ALLY,"A person, group, or state (etc) which is associated with another for a common cause; one united to another by treaty or common purpose; a confederate."
ALMA,
ALME,
ALMS,"Something given to the poor as charity, such as money, clothing or food."
ALOD,
ALOE,"(in the plural) The resins of the tree Aquilaria malaccensis (syn. Aquilaria agallocha), known for their fragrant aroma, produced after infection by the fungus Phialophora parasitica."
ALOO,(Indian cooking) potato
ALOW,Low down.
ALPS,"A very high mountain. Specifically, one of the Alps, the highest chain of mountains in Europe."
ALSO,(focus) In addition; besides; as well; further; too.
ALTO,"A musical part or section higher than tenor and lower than soprano, formerly the part that performed a countermelody above the tenor or main melody."
